,HomePlanet,CryoSleep,Destination,Age,Transported,Expenditure,No_spending,Group,Group_size,Solo,Cabin_deck,Cabin_side,Family_size
0,1,0,2,39,0,0.0,1,1,1,1,1,0,3.0
1,0,0,2,24,1,736.0,0,2,1,1,5,1,4.0
2,1,0,2,58,0,10383.0,0,3,2,0,0,1,7.0
3,1,0,2,33,0,5176.0,0,3,2,0,0,1,7.0
4,0,0,2,16,1,1091.0,0,4,1,1,5,1,9.0
5,0,0,1,44,1,774.0,0,5,1,1,5,0,10.0
6,0,0,2,26,1,1584.0,0,6,2,0,5,1,9.0
7,0,1,2,28,1,0.0,1,6,2,0,6,1,9.0
8,0,0,2,35,1,1018.0,0,7,1,1,5,1,5.0
9,1,1,0,14,1,0.0,1,8,3,0,1,0,3.0
10,1,1,2,34,1,0.0,1,8,3,0,1,0,3.0
11,1,0,0,45,1,8157.0,0,8,3,0,1,0,3.0
12,2,0,2,32,1,1309.0,0,9,1,1,5,0,4.0
13,0,0,2,48,0,809.0,0,10,1,1,6,1,6.0
14,0,0,2,28,1,1003.0,0,11,1,1,5,0,9.0
15,0,0,2,31,0,908.0,0,12,1,1,7,1,12.0
16,2,0,0,27,0,1408.0,0,14,1,1,5,0,2.0
17,0,0,0,24,0,638.0,0,15,1,1,5,0,9.0
18,2,1,2,45,1,0.0,1,16,1,1,5,0,7.0
19,0,0,2,0,1,0.0,1,17,2,0,6,0,8.0
20,0,0,0,14,0,1092.0,0,17,2,0,5,0,8.0
21,0,1,2,1,0,0.0,1,20,6,0,4,1,8.0
22,0,1,0,49,0,0.0,1,20,6,0,4,1,8.0
23,0,1,0,29,0,0.0,1,20,6,0,4,1,7.0
24,0,0,2,10,1,0.0,1,20,6,0,4,1,6.0
25,0,1,1,1,0,0.0,1,20,6,0,4,1,8.0
26,0,0,2,7,0,0.0,1,20,6,0,4,1,7.0
27,2,0,2,21,0,1051.0,0,22,1,1,3,0,1.0
28,1,1,2,62,1,0.0,1,24,1,1,2,1,1.0
29,0,0,2,15,0,1223.0,0,25,1,1,5,1,6.0
30,1,0,0,34,0,7861.0,0,26,1,1,2,0,2.0
31,2,0,2,43,0,1309.0,0,28,1,1,5,0,5.0
32,0,0,2,32,0,1821.0,0,30,1,1,6,1,4.0
33,2,0,2,47,1,2854.0,0,31,3,0,5,0,5.0
34,2,0,2,2,1,0.0,1,31,3,0,5,0,5.0
35,2,0,2,20,1,2740.0,0,31,3,0,5,0,5.0
36,1,1,0,28,1,0.0,1,34,1,1,3,1,1.0
37,2,0,0,23,0,2699.0,0,35,1,1,3,0,6.0
38,0,0,0,15,0,961.0,0,36,1,1,5,1,6.0
39,0,0,0,20,0,3355.0,0,38,1,1,5,1,7.0
40,0,1,0,30,0,0.0,1,39,1,1,6,0,2.0
41,0,1,2,17,1,0.0,1,41,1,1,6,0,11.0
42,1,0,2,45,0,3575.0,0,43,1,1,1,0,3.0
43,0,1,2,55,0,0.0,1,44,3,0,6,0,9.0
44,0,1,0,4,1,0.0,1,44,3,0,6,0,9.0
45,0,1,1,21,1,0.0,1,44,3,0,6,0,9.0
46,2,0,2,21,0,1214.0,0,45,2,0,5,0,7.0
47,2,1,2,19,1,0.0,1,45,2,0,5,0,7.0
48,0,0,0,35,0,790.0,0,50,1,1,4,1,3.0
49,0,0,2,56,0,1618.0,0,51,1,1,4,1,6.0
50,0,0,2,28,0,4689.0,0,52,1,1,6,1,8.0
51,0,0,2,25,1,1939.0,0,53,1,1,5,1,10.0
52,1,0,2,2,1,0.0,1,56,3,0,0,1,6.0
